OBJECTID,COMPKEY,COMPTYPE,SEGKEY,DISTANCE,WIDTH,UNITID,UNITTYPE,UNITDESC,BIKE_FACIL,RACK_CAPAC,DELINEATOR,FINISH_TYP,SURFACE_TY,INSTALL_DA,MOUNT_TYPE,COLOR,MANUFACTUR,MODEL_TYPE,CONDITION,ASSET_COND,CONDITION_,LATITUDE,LONGITUDE,Rack Location
507180,507180,16,2658,172,-34,BKR-1,BKR,19TH AVE E 0050 BLOCK E SIDE ( 142) 142 FT N/O E REPUBLICAN ST,SGL,2,False,GALV,PCC,,SUFMT,,BKR-CRMTL,BKR-INVRU,GOOD,GOOD,,47.6237,-122.3072,"{'latitude': '47.6237', 'longitude': '-122.3072', 'needs_recoding': False}"
508041,508041,16,14243,113,29,BKR-2,BKR,E JOHN ST 0090 BLOCK N SIDE (  86) 86 FT E/O BROADWAY E,SGL,2,False,GALV,PCC,2009-08-31T00:00:00,SUFMT,NONE,BKR-CRMTL,BKR-INVRU,,,2009-08-31T00:00:00,47.62,-122.3204,"{'latitude': '47.62', 'longitude': '-122.3204', 'needs_recoding': False}"
508042,508042,16,12867,127,30,BKR-3,BKR,SPRING ST 0080 BLOCK NW SIDE ( 113) 113 FT NE/O 8TH AVE,SGL,2,False,GALV,PCC,,STBS,NONE,BKR-CRMTL,BKR-CRRKB,,,,47.6089,-122.3288,"{'latitude': '47.6089', 'longitude': '-122.3288', 'needs_recoding': False}"
508047,508047,16,14481,235,17,BKR-4,BKR,E MERCER ST 0105 BLOCK N SIDE ( 222) 11 FT W/O 11TH AVE E,SGL,2,False,GALV,OTHER,,SUFMT,NONE,BKR-CRMTL,BKR-CRRKW,,,,47.6243,-122.3179,"{'latitude': '47.6243', 'longitude': '-122.3179', 'needs_recoding': False}"
508050,508050,16,9223,134,26,BKR-5,BKR,BELLEVUE AVE E 0060 BLOCK W SIDE ( 129) 115 FT S/O E ROY ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-CRRKW,,,,47.6247,-122.3267,"{'latitude': '47.6247', 'longitude': '-122.3267', 'needs_recoding': False}"
508051,508051,16,2556,473,-17,BKR-6,BKR,18TH AVE E 0120 BLOCK E SIDE ( 460) 124 FT S/O E GALER ST,SGL,2,False,GALV,OTHER,,SUFMT,NONE,BKR-CRMTL,BKR-CRRKW,,,,47.6319,-122.3085,"{'latitude': '47.6319', 'longitude': '-122.3085', 'needs_recoding': False}"
508052,508052,16,13106,98,-24,BKR-7,BKR,TERRY AVE 0080 BLOCK NE SIDE (  85) 85 FT NW/O COLUMBIA ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-CRRKW,,,,47.6077,-122.3251,"{'latitude': '47.6077', 'longitude': '-122.3251', 'needs_recoding': False}"
516621,516621,16,2100,112,-27,BKR-2247,BKR,15TH AVE NW 0530 BLOCK E SIDE (  89) 89 FT N/O NW 53RD ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,GOOD,2009-07-31T00:00:00,47.6675,-122.3761,"{'latitude': '47.6675', 'longitude': '-122.3761', 'needs_recoding': False}"
516622,516622,16,2100,70,27,BKR-717,BKR,15TH AVE NW 0530 BLOCK W SIDE (  47) 47 FT N/O NW 53RD ST,SGL,2,False,GALV,PCC,2009-03-18T00:00:00,SUFMT,NONE,BKR-CRMTL,BKR-INVRU,GOOD,GOOD,2009-07-31T00:00:00,47.6674,-122.3763,"{'latitude': '47.6674', 'longitude': '-122.3763', 'needs_recoding': False}"
516623,516623,16,2105,226,27,BKR-526,BKR,15TH AVE NW 0580 BLOCK W SIDE ( 203) 17 FT S/O NW 59TH ST,SGL,2,False,GALV,PCC-PAD,2000-11-12T00:00:00,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-07-31T00:00:00,47.6715,-122.3763,"{'latitude': '47.6715', 'longitude': '-122.3763', 'needs_recoding': False}"
